Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0xf918b18f909acd9c43ea182f4bf7b02fa5fb97c90db326d14f5fcc0598409764,31792552,1694867933,9/16/2023 12:38,0xf0973f2c1e633cea40dd3049c58f0abdb29d610e,0xcb66863359d2aee097f7bd8c6ccb5e57359a537d,577.8372849,Transfer
0xb95f383283af80e558acde406312bc134603217fa0ee940b8a0de2152447d520,31792645,1694868212,9/16/2023 12:43,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x59f928fa59e451ffc31d432ebbfc68f423e2c79f,123.5,Contest Reward
0xb95f383283af80e558acde406312bc134603217fa0ee940b8a0de2152447d520,31792645,1694868212,9/16/2023 12:43,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,0x668d071c5b9009a3c3ee7782cbdef31654731a05,6.5,Contest Reward
0xde77c680a8e80d5c1d2c82c910f73adff0cdfdff617148cc6796f761bf693d00,31792786,1694868635,9/16/2023 12:50,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"1,251.00",Transfer
0x9a6c80d78b7bc125915526844d56b3dc1314a411bfc41d7ebcd4cf899dce7b71,31792906,1694868995,9/16/2023 12:56,0xcb66863359d2aee097f7bd8c6ccb5e57359a537d,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,577.8372849,Transfer
0x0aca882022988589d70820b53ea891b56a25a58d1f4c3ac1f159f39c5a9b492a,31793021,1694869340,9/16/2023 13:02,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x0000000000f73a9daf39d74d785f5886bfbae81b,109.2429373,-
0x7fc7fd593bb2c56f95258daa59bf30794be5aa24f805f1bf7e1f301127fa94bb,31793021,1694869340,9/16/2023 13:02,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0xae3eb3509123698ec363e868f73cda95695bb974,689.2597154,Multicall
0x7c4569198e08c2d585b341da2c4ace6d6505515f8c62b4364aa1831419324783,31793021,1694869340,9/16/2023 13:02,0x0000000000f73a9daf39d74d785f5886bfbae81b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,109.2429373,-
0x03eb8885ea4c757dc74fcc4afeba79b149d59ac597e782e7ad469c0cdbccaee0,31793027,1694869358,9/16/2023 13:02,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x8e505073624976b00f87bf640216cb091a0f4793,"12,406.54",Claim Distribution
0xfb2fe605308f5f759f3557dc02a517a09297f7a98387dbaafc3afb89cb4bc3fd,31793072,1694869493,9/16/2023 13:04,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x8eae6cac1ef5a0049520fafe69238dfb2a0cbc5c,"7,856.28",Claim Distribution
0x4dd49311fd50bab5771ec4a3436e2ceee03f0b66b4fc71a869accacf20ab4ca8,31793118,1694869631,9/16/2023 13:07,0x8e505073624976b00f87bf640216cb091a0f4793,0xcc7dd40e31aa52ce4b1090012b10572ff7636ac2,"12,406.54",Transfer
0x84b5305a95ba09082cf84415ebe56cafa9b766cb719c6b4e862d527e5f6e0d0a,31793187,1694869838,9/16/2023 13:10,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x89c050cd95c73a9354fcf02dca36e70d3cc8d200,448.6469458,-
0xa226a5bbad025d3e14e761c8731686471250a473d493facc238eaf4dfffcc5a6,31793187,1694869838,9/16/2023 13:10,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0xdb6f1920a889355780af7570773609bd8cb1f498,"2,588.37",Swap
0xa226a5bbad025d3e14e761c8731686471250a473d493facc238eaf4dfffcc5a6,31793187,1694869838,9/16/2023 13:10,0xdb6f1920a889355780af7570773609bd8cb1f498,0xc590175e458b83680867afd273527ff58f74c02b,"2,588.37",Swap
0xa226a5bbad025d3e14e761c8731686471250a473d493facc238eaf4dfffcc5a6,31793187,1694869838,9/16/2023 13:10,0xc590175e458b83680867afd273527ff58f74c02b,0x08e66a6331ae1f032e100e2ad4c6223b11f28d9a,"2,588.37",Swap
0x2397918663da6ae249515f165ee232cf8ace273792d5c696b9abb97e097eeda7,31793187,1694869838,9/16/2023 13:10,0x89c050cd95c73a9354fcf02dca36e70d3cc8d200,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,448.6469458,-
0x952736f5be5c63a69834fb123665347c6483a5f8f3381a85272bbc7b903808a0,31793191,1694869850,9/16/2023 13:10,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"2,566.63",-
0xe56fd504427318e62ef19e1f3f46bd84755f9061e7904facc83420e2162affaf,31793199,1694869874,9/16/2023 13:11,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,"3,262.73",Transfer
0x17e5c42aace206cb996a532ad1b9d801aca6414ea5fc70e34e03b2edb0ab2541,31793199,1694869874,9/16/2023 13:11,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,"2,608.25",Transfer
0x8a739dfba33fc787b4166541bc23f21c7c84f0cb559a117e7aca6520c6caa8e6,31793201,1694869880,9/16/2023 13:11,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,"3,262.73",Transfer
0xb1f5db8b8903b9fa9ac3af5e9c21f9eb5e891b591d4e6d784e412b6be06a3b7a,31793243,1694870011,9/16/2023 13:13,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x000000000000d43e334f64e2ae7a8cf488f9ca91,449.0739205,-
0xe72e193611e4f04f83046b330e07b63f1d921bcb322a9909a03197e775818a72,31793243,1694870011,9/16/2023 13:13,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0xdb6f1920a889355780af7570773609bd8cb1f498,"2,925.84",Swap
0xe72e193611e4f04f83046b330e07b63f1d921bcb322a9909a03197e775818a72,31793243,1694870011,9/16/2023 13:13,0xdb6f1920a889355780af7570773609bd8cb1f498,0xc590175e458b83680867afd273527ff58f74c02b,"2,925.84",Swap
0xe72e193611e4f04f83046b330e07b63f1d921bcb322a9909a03197e775818a72,31793243,1694870011,9/16/2023 13:13,0xc590175e458b83680867afd273527ff58f74c02b,0x08e66a6331ae1f032e100e2ad4c6223b11f28d9a,"2,925.84",Swap
0xdce495457dfad7e0f9e6651ff1b2f4a78d4385080bb3e24f0b76b49dabb6a783,31793243,1694870011,9/16/2023 13:13,0x000000000000d43e334f64e2ae7a8cf488f9ca91,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,449.0739205,-
0xa6f7389c70d460e93ebe2752600f01e1537c1a55d7118eab957a86f24a5bec6a,31793244,1694870014,9/16/2023 13:13,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"2,459.42",-
0x5cf4f6951a84d6f8437cb5731e016aaa645547e78629d8f27ea66d295e40fb70,31793257,1694870053,9/16/2023 13:14,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,"1,631.65",Transfer
0x3b0d46fea3753946053001c6cbf0ffebb28ba27aabc227257462a2ab5c2ff4d7,31793259,1694870059,9/16/2023 13:14,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,"1,631.65",Transfer
0xc05e9888a52e0983d2acd297875cef2a5a1b6dd14c5e8ca814f1187492641db1,31793262,1694870068,9/16/2023 13:14,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,"2,481.46",Transfer
